"RouteTableName","RouteTableId","SubnetId","SubnetName","Destination","NextHop"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0e4e61efbb4b98e02","pb-preprod-app-private-subnet-zb","172.16.5.0/24","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0e4e61efbb4b98e02","pb-preprod-app-private-subnet-zb","10.10.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0e4e61efbb4b98e02","pb-preprod-app-private-subnet-zb","10.20.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0e4e61efbb4b98e02","pb-preprod-app-private-subnet-zb","10.70.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0e4e61efbb4b98e02","pb-preprod-app-private-subnet-zb","10.210.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0e4e61efbb4b98e02","pb-preprod-app-private-subnet-zb","10.211.0.0/16","local"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0e4e61efbb4b98e02","pb-preprod-app-private-subnet-zb","0.0.0.0/0","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0379a53958a5b3ab7","pb-preprod-app-private-subnet-za","172.16.5.0/24","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0379a53958a5b3ab7","pb-preprod-app-private-subnet-za","10.10.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0379a53958a5b3ab7","pb-preprod-app-private-subnet-za","10.20.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0379a53958a5b3ab7","pb-preprod-app-private-subnet-za","10.70.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0379a53958a5b3ab7","pb-preprod-app-private-subnet-za","10.210.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0379a53958a5b3ab7","pb-preprod-app-private-subnet-za","10.211.0.0/16","local"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-0379a53958a5b3ab7","pb-preprod-app-private-subnet-za","0.0.0.0/0","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-06b3bb3149268350f","pb-preprod-app-cluster-private-subnet-zc","172.16.5.0/24","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-06b3bb3149268350f","pb-preprod-app-cluster-private-subnet-zc","10.10.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-06b3bb3149268350f","pb-preprod-app-cluster-private-subnet-zc","10.20.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-06b3bb3149268350f","pb-preprod-app-cluster-private-subnet-zc","10.70.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-06b3bb3149268350f","pb-preprod-app-cluster-private-subnet-zc","10.210.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-06b3bb3149268350f","pb-preprod-app-cluster-private-subnet-zc","10.211.0.0/16","local"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-06b3bb3149268350f","pb-preprod-app-cluster-private-subnet-zc","0.0.0.0/0","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-023e7c7035d0bc2a3","pb-preprod-app-cluster-private-subnet-zb","172.16.5.0/24","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-023e7c7035d0bc2a3","pb-preprod-app-cluster-private-subnet-zb","10.10.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-023e7c7035d0bc2a3","pb-preprod-app-cluster-private-subnet-zb","10.20.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-023e7c7035d0bc2a3","pb-preprod-app-cluster-private-subnet-zb","10.70.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-023e7c7035d0bc2a3","pb-preprod-app-cluster-private-subnet-zb","10.210.0.0/16","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-023e7c7035d0bc2a3","pb-preprod-app-cluster-private-subnet-zb","10.211.0.0/16","local"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-023e7c7035d0bc2a3","pb-preprod-app-cluster-private-subnet-zb","0.0.0.0/0","tgw-0cccd47a259444dcb"
"pb-preprod-app-private-rt","rtb-03998eab4f1120a08","subnet-020a5d54d3e5b0e4d","pb-preprod-app-private-subnet-zc","172.16.5.0/24","tgw-0cccd47a259444dcb"
